playid,down,time,home,team,players,touchdown,yards_togo,total_yds,turnovers,rushing_yds,passing_yds,kicking_xpa,kicking_xpmade,kicking_fga,kicking_fgm
3524,3,Q4 10:37,False,NYG,"[D.Jones, J.Tavai]",False,1,1,0,1,0,0,0,0,0
3545,1,Q4 09:55,False,NYG,"[J.Davis, T.Wilson, R.Ellison, D.Jones]",False,10,-1,0,0,-1,0,0,0,0
3572,2,Q4 09:21,False,NYG,"[S.Barkley, D.Jones, M.Killebrew]",False,11,17,0,0,17,0,0,0,0
3596,1,Q4 08:44,False,NYG,"[D.Hand, T.Flowers, D.Jones]",False,10,0,0,0,0,0,0,0,0
3625,2,Q4 08:02,False,NYG,"[T.Flowers, D.Jones]",False,20,0,0,0,0,0,0,0,0
3644,3,Q4 07:18,False,NYG,"[D.Jones, W.Gallman Jr, J.Coleman]",False,26,20,0,0,20,0,0,0,0
3668,4,Q4 06:30,False,NYG,"[G.Tate, D.Jones, J.Coleman]",False,6,0,0,0,0,0,0,0,0
3690,1,Q4 06:25,True,DET,"[J.McKissic, M.Stafford, L.Carter]",False,10,-6,0,0,-6,0,0,0,0
3730,2,Q4 05:58,True,DET,"[D.Tomlinson, M.Stafford]",False,16,0,0,0,0,0,0,0,0
3749,3,Q4 05:15,True,DET,"[A.Bethea, K.Golladay, J.Peppers, M.Stafford, M.Jones]",False,25,14,1,0,14,0,0,0,0
3789,1,Q4 05:02,False,NYG,"[C.Jones, S.Barkley, D.Jones]",False,10,7,0,0,7,0,0,0,0
3813,2,Q4 04:34,False,NYG,"[R.Melvin, D.Jones, C.Latimer]",False,3,18,0,0,18,0,0,0,0
3842,1,Q4 04:28,False,NYG,"[S.Barkley, D.Kennard]",False,10,-2,0,-2,0,0,0,0,0
3863,2,Q4 03:45,False,NYG,"[S.Barkley, J.Davis, D.Jones]",False,12,1,0,0,1,0,0,0,0
3897,3,Q4 03:39,False,NYG,"[M.Ford, D.Slayton, D.Jones]",False,11,0,0,0,0,0,0,0,0
3919,4,Q4 03:31,False,NYG,"[D.Slayton, D.Jones]",False,11,0,0,0,0,0,0,0,0
3952,1,Q4 03:27,True,DET,"[T.Carson, D.Baker]",False,10,0,0,0,0,0,0,0,0
3973,0,,True,,[],False,0,0,0,0,0,0,0,0,0
